,Date,Media Sources,Negative,Neutral,Positive,Source Account,Tweet Polarity,Tweets Ago
0,Sun Jan 07 03:18:47 +0000 2018,BBC,0.0,1.0,0.0,Magallanes BBC,0.0,1
1,Sun Jan 07 03:18:45 +0000 2018,BBC,0.0,1.0,0.0,♠️Toy4black(18+)94K,0.0,2
2,Sun Jan 07 03:18:44 +0000 2018,BBC,0.203,0.797,0.0,BlueStateResistance,-0.4215,3
3,Sun Jan 07 03:18:44 +0000 2018,BBC,0.0,1.0,0.0,BBC Sport,0.0,4
4,Sun Jan 07 03:18:44 +0000 2018,BBC,0.0,1.0,0.0,♠Whootyfiend♠,0.0,5
5,Sun Jan 07 03:18:43 +0000 2018,BBC,0.0,1.0,0.0,さてぃ・うさ,0.0,6
6,Sun Jan 07 03:18:43 +0000 2018,BBC,0.0,1.0,0.0,Korseries,0.0,7
7,Sun Jan 07 03:18:40 +0000 2018,BBC,0.274,0.726,0.0,Sebastian Gorka DrG,-0.5267,8
8,Sun Jan 07 03:18:40 +0000 2018,BBC,0.0,1.0,0.0,รุ้งกร,0.0,9
9,Sun Jan 07 03:18:37 +0000 2018,BBC,0.0,1.0,0.0,کیومرث,0.0,10
10,Sun Jan 07 03:18:32 +0000 2018,BBC,0.0,1.0,0.0,Clare Lopez,0.0,11
11,Sun Jan 07 03:18:31 +0000 2018,BBC,0.0,0.619,0.381,♠Black Master♠ 210K,0.5719,12
12,Sun Jan 07 03:18:31 +0000 2018,BBC,0.0,1.0,0.0,在宅貝,0.0,13
13,Sun Jan 07 03:18:30 +0000 2018,BBC,0.0,1.0,0.0,"จัสตินนี่ , ลูกสมมุติ",0.0,14
14,Sun Jan 07 03:18:30 +0000 2018,BBC,0.0,1.0,0.0,Phoebe Lynn,0.0,15
15,Sun Jan 07 03:18:30 +0000 2018,BBC,0.0,1.0,0.0,Rafi,0.0,16
16,Sun Jan 07 03:18:29 +0000 2018,BBC,0.0,1.0,0.0,BBC 뉴스 코리아 비공식 계정,0.0,17
17,Sun Jan 07 03:18:28 +0000 2018,BBC,0.0,1.0,0.0,Radamés Rivas,0.0,18
18,Sun Jan 07 03:18:26 +0000 2018,BBC,0.0,1.0,0.0,BBC News (World),0.0,19
19,Sun Jan 07 03:18:25 +0000 2018,BBC,0.0,1.0,0.0,Korseries,0.0,20
20,Sun Jan 07 03:18:25 +0000 2018,BBC,0.0,1.0,0.0,BBC Sport,0.0,21
21,Sun Jan 07 03:18:23 +0000 2018,BBC,0.112,0.772,0.116,Rachel Butler,0.0258,22
22,Sun Jan 07 03:18:22 +0000 2018,BBC,0.0,1.0,0.0,Ravinder Tyagi,0.0,23
23,Sun Jan 07 03:18:21 +0000 2018,BBC,0.0,1.0,0.0,遠子先輩,0.0,24
24,Sun Jan 07 03:18:17 +0000 2018,BBC,0.135,0.739,0.126,Naomi Oni ✨,-0.0516,25
25,Sun Jan 07 03:18:17 +0000 2018,BBC,0.244,0.756,0.0,Gavia Baker-Whitelaw,-0.7964,26
26,Sun Jan 07 03:18:16 +0000 2018,BBC,0.0,1.0,0.0,#FIKSMERISTORY,0.0,27
27,Sun Jan 07 03:18:16 +0000 2018,BBC,0.244,0.756,0.0,Gavia Baker-Whitelaw,-0.7964,28
28,Sun Jan 07 03:18:16 +0000 2018,BBC,0.0,1.0,0.0,รุ้งกร,0.0,29
29,Sun Jan 07 03:18:16 +0000 2018,BBC,0.348,0.652,0.0,Karen Menpes,-0.6588,30
30,Sun Jan 07 03:18:14 +0000 2018,BBC,0.0,1.0,0.0,รุ้งกร,0.0,31
31,Sun Jan 07 03:18:12 +0000 2018,BBC,0.0,1.0,0.0,รุ้งกร,0.0,32
32,Sun Jan 07 03:18:12 +0000 2018,BBC,0.0,1.0,0.0,bbcrussian,0.0,33
33,Sun Jan 07 03:18:10 +0000 2018,BBC,0.055,0.864,0.081,♠️ Goddess Skylar ♠️,0.1901,34
34,Sun Jan 07 03:18:09 +0000 2018,BBC,0.083,0.917,0.0,Dr Zoe Norris,-0.25,35
35,Sun Jan 07 03:18:08 +0000 2018,BBC,0.0,1.0,0.0,blacktowhite,0.0,36
36,Sun Jan 07 03:18:08 +0000 2018,BBC,0.198,0.802,0.0,Dan Bongino,-0.5719,37
37,Sun Jan 07 03:18:07 +0000 2018,BBC,0.0,0.866,0.134,JOE.co.uk,0.5267,38
38,Sun Jan 07 03:18:07 +0000 2018,BBC,0.0,1.0,0.0,あかもち,0.0,39
39,Sun Jan 07 03:18:06 +0000 2018,BBC,0.0,1.0,0.0,"จัสตินนี่ , ลูกสมมุติ",0.0,40
40,Sun Jan 07 03:18:05 +0000 2018,BBC,0.264,0.736,0.0,🌎Animal Watch🌍,-0.6486,41
41,Sun Jan 07 03:18:05 +0000 2018,BBC,0.0,1.0,0.0,รุ้งกร,0.0,42
42,Sun Jan 07 03:18:03 +0000 2018,BBC,0.247,0.348,0.404,Jayesh Jani,0.5423,43
43,Sun Jan 07 03:18:03 +0000 2018,BBC,0.0,0.755,0.245,BBC Wales News,0.7579,44
44,Sun Jan 07 03:18:03 +0000 2018,BBC,0.0,0.916,0.084,Leo Kelion,0.2732,45
45,Sun Jan 07 03:18:03 +0000 2018,BBC,0.0,1.0,0.0,SK-2,0.0,46
46,Sun Jan 07 03:18:02 +0000 2018,BBC,0.092,0.908,0.0,Grant Tucker,-0.2057,47
47,Sun Jan 07 03:18:01 +0000 2018,BBC,0.0,0.693,0.307,PimpXXX Network,0.7901,48
48,Sun Jan 07 03:18:01 +0000 2018,BBC,0.0,1.0,0.0,桂 春蝶,0.0,49
49,Sun Jan 07 03:18:01 +0000 2018,BBC,0.0,1.0,0.0,dark side Thailand,0.0,50
50,Sun Jan 07 03:18:00 +0000 2018,BBC,0.133,0.741,0.126,B O O T Y [80K],-0.0516,51
